Номер кредитного договора	Филиала	Сумма кредита	Дата выдачи	Дата возврата	Льготы	Срок кредита (в мес)	Процентая ставка	Аннуитентный платеж	Плата по %%
310	Киевский	435000	02.апр.12	02.июл.12	1	3	7,0%	146694,95	5084,84
311	Аэропорт	235000	02.апр.12	02.июл.15	0	39	20,0%	8243,01	86477,43
312	Аэропорт	271000	03.апр.12	03.дек.14	0	32	17,0%	10591,71	67934,82
313	Аэропорт	308000	03.апр.12	03.июл.16	0	51	15,0%	8203,80	110393,76
314	Аэропорт	85000	03.апр.12	03.мар.13	0	11	10,0%	8118,98	4308,77
315	Аэропорт	169000	03.апр.12	03.ноя.15	0	43	20,0%	5536,67	69076,84
316	Арбатский	450000	03.апр.12	03.янв.17	0	57	15,0%	11085,65	181882,06
317	Киевский	157000	03.апр.12	03.ноя.12	0	7	10,0%	23182,39	5276,76
318	Аэропорт	78000	03.апр.12	03.мар.13	0	11	10,0%	7450,36	3953,93
319	Киевский	106000	04.апр.12	04.июл.12	0	3	10,0%	35923,85	1771,55
320	Аэропорт	475000	04.апр.12	04.сен.13	1	17	9,0%	29864,78	32701,18
321	Киевский	98000	04.апр.12	04.дек.12	0	8	10,0%	12713,82	3710,58
322	Аэропорт	422000	04.апр.12	04.авг.14	0	28	17,0%	18362,83	92159,12
323	Киевский	140000	04.апр.12	04.июн.12	0	2	10,0%	70876,21	1752,42
324	Аэропорт	358000	04.апр.12	04.дек.15	0	44	20,0%	11545,79	150014,73
325	Аэропорт	307000	04.апр.12	04.янв.15	1	33	14,0%	11262,00	64645,84
326	Киевский	256000	04.апр.12	04.дек.12	0	8	10,0%	33211,62	9692,94
327	Аэропорт	78000	04.апр.12	04.июл.13	0	15	12,0%	5625,65	6384,82
328	Аэропорт	245000	04.апр.12	04.июн.15	0	38	20,0%	8754,96	87688,32
329	Арбатский	217000	05.апр.12	05.май.17	0	61	15,0%	5105,49	94434,64
330	Киевский	75000	05.апр.12	05.дек.12	0	8	10,0%	9729,97	2839,73
331	Аэропорт	214000	05.апр.12	05.янв.15	0	33	17,0%	8163,37	55391,19
332	Аэропорт	135000	05.апр.12	05.май.13	0	13	12,0%	11126,00	9638,01
333	Аэропорт	116000	05.апр.12	05.фев.14	0	22	12,0%	5900,19	13804,21
334	Киевский	369000	06.апр.12	06.ноя.12	0	7	10,0%	54486,01	12402,07
335	Арбатский	154000	06.апр.12	06.дек.17	0	68	15,0%	3375,26	75517,36
336	Аэропорт	270000	06.апр.12	06.янв.14	0	21	12,0%	14318,30	30684,37
337	Аэропорт	134000	06.апр.12	06.апр.14	0	24	12,0%	6307,85	17388,29
338	Аэропорт	222000	07.апр.12	07.янв.15	0	33	17,0%	8468,54	57461,88
339	Аэропорт	472000	07.апр.12	07.июн.15	0	38	20,0%	16866,69	168934,24
340	Киевский	117000	07.апр.12	07.авг.12	0	4	10,0%	29861,90	2447,61
341	Аэропорт	106000	07.апр.12	07.фев.14	0	22	12,0%	5391,55	12614,19
342	Киевский	450000	07.апр.12	07.ноя.12	0	7	10,0%	66446,35	15124,47
343	Аэропорт	454000	07.апр.12	07.ноя.15	0	43	20,0%	14873,66	185567,38
344	Аэропорт	369000	07.апр.12	07.июл.13	0	15	12,0%	26613,67	30205,12
345	Аэропорт	349000	07.апр.12	07.май.13	0	13	12,0%	28762,77	24916,04
346	Аэропорт	348000	08.апр.12	08.май.16	1	49	13,0%	9190,55	102336,89
347	Киевский	75000	08.апр.12	08.сен.12	0	5	10,0%	15377,07	1885,37
348	Аэропорт	196000	08.апр.12	08.ноя.13	0	19	12,0%	11378,14	20184,73
349	Аэропорт	272000	08.апр.12	08.мар.13	0	11	10,0%	25980,73	13788,08
350	Аэропорт	76000	08.апр.12	08.май.14	1	25	14,0%	3522,43	12060,71
351	Аэропорт	175000	08.апр.12	08.окт.15	0	42	20,0%	5827,02	69734,97
352	Аэропорт	464000	08.апр.12	08.янв.15	0	33	17,0%	17700,02	120100,52
353	Аэропорт	158000	08.апр.12	08.янв.13	1	9	7,0%	18071,56	4644,07
354	Аэропорт	76000	08.апр.12	08.июл.13	0	15	12,0%	5481,41	6221,11
355	Аэропорт	236000	08.апр.12	08.апр.14	1	24	9,0%	10781,60	22758,38
356	Аэропорт	344000	08.апр.12	08.июл.15	0	39	20,0%	12066,36	126588,23
357	Аэропорт	115000	09.апр.12	09.ноя.14	0	31	17,0%	4609,49	27894,31
358	Аэропорт	329000	09.апр.12	09.авг.15	0	40	20,0%	11334,96	124398,40
359	Аэропорт	142000	09.апр.12	09.авг.15	1	40	18,0%	4746,65	47865,94
360	Аэропорт	217000	09.апр.12	09.фев.16	0	46	20,0%	6791,91	95427,87
361	Киевский	147000	09.апр.12	09.дек.12	0	8	10,0%	19070,73	5565,87
362	Киевский	285000	09.апр.12	09.авг.12	0	4	10,0%	72740,53	5962,14
363	Аэропорт	249000	09.апр.12	09.окт.14	0	30	17,0%	10246,09	58382,78
364	Аэропорт	367000	09.апр.12	09.май.13	0	13	12,0%	30246,24	26201,10
365	Киевский	238000	09.апр.12	09.дек.12	0	8	10,0%	30876,43	9011,40
366	Аэропорт	83000	09.апр.12	09.окт.15	1	42	18,0%	2677,93	29473,20
367	Аэропорт	342000	10.апр.12	10.апр.16	0	48	20,0%	10407,18	157544,83
368	Аэропорт	182000	10.апр.12	10.мар.13	0	11	10,0%	17384,17	9225,85
369	Аэропорт	408000	10.апр.12	10.авг.13	0	16	12,0%	27721,40	35542,33
370	Аэропорт	434000	10.апр.12	10.мар.14	0	23	12,0%	21216,45	53978,46
371	Аэропорт	241000	10.апр.12	10.окт.14	0	30	17,0%	9916,90	56507,03
372	Аэропорт	90000	10.апр.12	10.июл.15	0	39	20,0%	3156,90	33119,01
373	Аэропорт	80000	10.апр.12	10.июн.13	0	14	12,0%	6152,09	6129,31
374	Аэропорт	302000	10.апр.12	10.янв.13	0	9	10,0%	34969,17	12722,56
375	Аэропорт	306000	10.апр.12	10.июн.15	0	38	20,0%	10934,76	109520,93
376	Аэропорт	311000	10.апр.12	10.окт.14	0	30	17,0%	12797,33	72919,86
377	Аэропорт	221000	10.апр.12	10.май.14	0	25	17,0%	10559,45	42986,32
378	Семеновский	483000	11.апр.12	11.сен.16	0	53	15,0%	12517,68	180437,18
379	Аэропорт	301000	11.апр.12	11.янв.15	0	33	17,0%	11482,12	77910,03
380	Арбатский	400000	11.апр.12	11.фев.17	1	58	13,0%	9324,73	140834,34
381	Арбатский	435000	11.апр.12	11.янв.17	0	57	15,0%	10716,13	175819,32
382	Киевский	61000	11.апр.12	11.ноя.12	1	7	7,0%	8918,80	1431,61
383	Аэропорт	416000	11.апр.12	11.окт.14	1	30	14,0%	16514,52	79435,56
384	Аэропорт	207000	11.апр.12	11.дек.15	0	44	20,0%	6675,92	86740,36
385	Аэропорт	219000	11.апр.12	11.июл.14	0	27	17,0%	9817,64	46076,36
386	Аэропорт	317000	11.апр.12	11.сен.13	0	17	12,0%	20369,80	29286,66
387	Киевский	471000	11.апр.12	11.сен.12	0	5	10,0%	96568,03	11840,14
388	Семеновский	440000	11.апр.12	11.сен.16	0	53	15,0%	11403,27	164373,41
389	Киевский	405000	11.апр.12	11.сен.12	0	5	10,0%	83036,20	10181,02
390	Аэропорт	115000	12.апр.12	12.мар.13	0	11	10,0%	10984,50	5829,52
391	Киевский	283000	12.апр.12	12.дек.12	0	8	10,0%	36714,41	10715,24
392	Аэропорт	466000	12.апр.12	12.фев.14	0	22	12,0%	23702,49	55454,84
393	Семеновский	472000	12.апр.12	12.окт.16	0	54	15,0%	12072,63	179921,90
394	Аэропорт	151000	12.апр.12	12.авг.13	0	16	12,0%	10259,63	13154,15
395	Аэропорт	235000	12.апр.12	12.апр.15	0	36	17,0%	8378,39	66622,07
396	Семеновский	399000	12.апр.12	12.ноя.16	0	55	15,0%	10075,33	155143,06
397	Аэропорт	153000	12.апр.12	12.май.16	0	49	15,0%	4194,59	52535,02
398	Арбатский	269000	12.апр.12	12.авг.17	0	64	15,0%	6131,06	123387,53
399	Киевский	164000	13.апр.12	13.ноя.12	0	7	10,0%	24216,00	5512,03
400	Аэропорт	282000	13.апр.12	13.ноя.15	0	43	20,0%	9238,71	115264,32
401	Семеновский	450000	13.апр.12	13.сен.16	0	53	15,0%	11662,44	168109,17
402	Аэропорт	285000	13.апр.12	13.окт.15	0	42	20,0%	9489,72	113568,38
403	Арбатский	414000	13.апр.12	13.мар.17	0	59	15,0%	9961,50	173728,24
404	Аэропорт	443000	13.апр.12	13.фев.14	1	22	9,0%	21918,52	39207,54
405	Аэропорт	272000	13.апр.12	13.апр.13	0	12	10,0%	23913,12	14957,46
406	Аэропорт	141000	13.апр.12	13.сен.13	0	17	12,0%	9060,39	13026,56
407	Аэропорт	208000	13.апр.12	13.авг.15	0	40	20,0%	7166,18	78647,01
408	Киевский	82000	14.апр.12	14.окт.12	0	6	10,0%	14068,03	2408,21
409	Аэропорт	324000	14.апр.12	14.июл.15	0	39	20,0%	11364,83	119228,45
410	Аэропорт	347000	14.апр.12	14.дек.15	0	44	20,0%	11191,03	145405,33
411	Арбатский	401000	14.апр.12	14.апр.17	0	60	15,0%	9539,76	171385,72
412	Аэропорт	238000	14.апр.12	14.дек.14	0	32	17,0%	9301,95	59662,31
413	Киевский	362000	14.апр.12	14.дек.12	0	8	10,0%	46963,30	13706,42
414	Аэропорт	473000	14.апр.12	14.май.13	0	13	12,0%	38982,21	33768,73
415	Аэропорт	266000	14.апр.12	14.ноя.13	0	19	12,0%	15441,77	27393,56
416	Аэропорт	496000	14.апр.12	14.авг.13	0	16	12,0%	33700,52	43208,32
417	Аэропорт	489000	14.апр.12	14.ноя.14	0	31	17,0%	19600,37	118611,45
418	Киевский	295000	15.апр.12	15.июл.12	1	3	7,0%	99482,78	3448,34
419	Киевский	349000	15.апр.12	15.сен.12	0	5	10,0%	71554,65	8773,27
420	Аэропорт	150000	15.апр.12	15.окт.15	1	42	18,0%	4839,64	53264,82
421	Аэропорт	58000	15.апр.12	15.янв.15	0	33	17,0%	2212,50	15012,56
422	Аэропорт	291000	15.апр.12	15.фев.15	1	34	14,0%	10417,44	63192,94
423	Аэропорт	465000	15.апр.12	15.мар.13	0	11	10,0%	44415,59	23571,53
424	Аэропорт	409000	15.апр.12	15.июл.16	0	51	15,0%	10894,01	146594,31
425	Аэропорт	97000	15.апр.12	15.июн.15	0	38	20,0%	3466,25	34717,42
426	Семеновский	443000	15.апр.12	15.дек.16	0	56	15,0%	11047,26	175646,71
427	Аэропорт	210000	15.апр.12	15.янв.13	0	9	10,0%	24316,31	8846,81
428	Аэропорт	409000	15.апр.12	15.дек.15	0	44	20,0%	13190,58	171385,54
429	Киевский	77000	15.апр.12	15.ноя.12	0	7	10,0%	11369,71	2587,97
430	Аэропорт	70000	16.апр.12	16.окт.15	0	42	20,0%	2330,81	27893,99
431	Аэропорт	491000	16.апр.12	16.май.14	0	25	17,0%	23460,14	95503,53
432	Аэропорт	312000	16.апр.12	16.май.15	0	37	20,0%	11365,89	108537,98
433	Аэропорт	97000	16.апр.12	16.дек.14	0	32	17,0%	3791,13	24316,15
434	Аэропорт	229000	16.апр.12	16.июн.13	0	14	12,0%	17610,37	17545,16
435	Аэропорт	156000	16.апр.12	16.фев.13	0	10	10,0%	16323,90	7238,99
436	Аэропорт	388000	16.апр.12	16.ноя.13	0	19	12,0%	22524,08	39957,53
437	Аэропорт	228000	16.апр.12	16.сен.13	0	17	12,0%	14650,84	21064,22
438	Аэропорт	106000	16.апр.12	16.авг.13	0	16	12,0%	7202,13	9234,04
439	Аэропорт	174000	17.апр.12	17.окт.14	0	30	17,0%	7159,92	40797,61
440	Аэропорт	117000	17.апр.12	17.июл.13	0	15	12,0%	8438,48	9577,23
441	Аэропорт	222000	17.апр.12	17.май.15	0	37	20,0%	8087,27	77228,95
442	Киевский	438000	17.апр.12	17.ноя.12	0	7	10,0%	64674,45	14721,16
443	Аэропорт	273000	17.апр.12	17.июл.16	1	51	13,0%	6995,39	83765,06
444	Аэропорт	347000	17.апр.12	17.июл.13	0	15	12,0%	25026,95	28404,28
445	Аэропорт	90000	17.апр.12	17.янв.14	0	21	12,0%	4772,77	10228,12
446	Аэропорт	229000	17.апр.12	17.июл.13	0	15	12,0%	16516,35	18745,18
447	Аэропорт	229000	17.апр.12	17.фев.16	0	46	20,0%	7167,50	100704,99
448	Киевский	91000	17.апр.12	17.авг.12	0	4	10,0%	23225,92	1903,70
449	Аэропорт	367000	17.апр.12	17.июл.15	0	39	20,0%	12873,13	135051,98
450	Аэропорт	170000	17.апр.12	17.авг.15	1	40	18,0%	5682,61	57304,29
451	Аэропорт	306000	17.апр.12	17.дек.13	1	20	9,0%	16533,37	24667,47
452	Аэропорт	247000	17.апр.12	17.июн.15	0	38	20,0%	8826,42	88404,15
453	Аэропорт	433000	17.апр.12	17.июн.16	0	50	15,0%	11698,63	151931,58
454	Аэропорт	168000	18.апр.12	18.фев.14	0	22	12,0%	8545,10	19992,30
455	Аэропорт	245000	18.апр.12	18.фев.15	0	34	17,0%	9130,03	65421,16
456	Аэропорт	103000	18.апр.12	18.июл.13	0	15	12,0%	7428,75	8431,24
457	Аэропорт	124000	18.апр.12	18.янв.14	0	21	12,0%	6575,81	14092,08
458	Аэропорт	222000	18.апр.12	18.май.14	0	25	17,0%	10607,23	43180,82
459	Аэропорт	54000	19.апр.12	19.фев.13	0	10	10,0%	5650,58	2505,81
460	Семеновский	316000	19.апр.12	19.дек.16	0	56	15,0%	7880,21	125292,01
461	Аэропорт	364000	19.апр.12	19.фев.14	0	22	12,0%	18514,39	43316,66
462	Аэропорт	386000	19.апр.12	19.сен.14	1	29	14,0%	15765,50	71199,55
463	Арбатский	315000	19.апр.12	19.апр.17	0	60	15,0%	7493,83	134629,68
464	Аэропорт	434000	19.апр.12	19.ноя.13	0	19	12,0%	25194,46	44694,76
465	Аэропорт	355000	19.апр.12	19.апр.13	0	12	10,0%	31210,14	19521,68
466	Аэропорт	453000	19.апр.12	19.мар.16	0	47	20,0%	13977,33	203934,69
467	Аэропорт	278000	19.апр.12	19.авг.16	0	52	15,0%	7302,77	101744,17
468	Семеновский	80000	19.апр.12	19.окт.16	0	54	15,0%	2046,21	30495,24
469	Аэропорт	122000	19.апр.12	19.мар.16	0	47	20,0%	3764,32	54922,81
470	Семеновский	468000	19.апр.12	19.сен.16	1	53	13,0%	11652,91	149604,36
471	Аэропорт	78000	19.апр.12	19.май.16	1	49	13,0%	2059,95	22937,58
472	Киевский	67000	20.апр.12	20.ноя.12	0	7	10,0%	9893,12	2251,87
473	Аэропорт	370000	20.апр.12	20.окт.15	0	42	20,0%	12319,99	147439,66
474	Аэропорт	172000	20.апр.12	20.июн.16	1	50	13,0%	4473,52	51676,05
475	Аэропорт	124000	20.апр.12	20.дек.14	0	32	17,0%	4846,39	31084,57
476	Аэропорт	295000	20.апр.12	20.фев.13	0	10	10,0%	30868,91	13689,12
477	Аэропорт	83000	20.апр.12	20.июн.15	0	38	20,0%	2965,96	29706,66
478	Аэропорт	150000	20.апр.12	20.мар.14	0	23	12,0%	7332,88	18656,15
479	Аэропорт	107000	20.апр.12	20.мар.15	0	35	17,0%	3898,61	29451,26
480	Аэропорт	464000	20.апр.12	20.дек.15	0	44	20,0%	14964,37	194432,49
481	Аэропорт	468000	20.апр.12	20.мар.15	0	35	17,0%	17051,85	128814,88
482	Аэропорт	170000	20.апр.12	20.июн.15	1	38	18,0%	5901,74	54266,22
483	Семеновский	441000	20.апр.12	20.сен.16	1	53	13,0%	10980,63	140973,34
484	Аэропорт	281000	21.апр.12	21.сен.14	0	29	17,0%	11883,50	63621,62
485	Арбатский	462000	21.апр.12	21.мар.17	0	59	15,0%	11116,45	193870,65
486	Аэропорт	147000	21.апр.12	21.дек.14	0	32	17,0%	5745,32	36850,25
487	Аэропорт	149000	21.апр.12	21.ноя.14	0	31	17,0%	5972,30	36141,32
488	Аэропорт	243000	21.апр.12	21.авг.13	1	16	9,0%	16173,78	15780,56
489	Аэропорт	100000	22.апр.12	22.апр.13	0	12	10,0%	8791,59	5499,06
490	Аэропорт	432000	22.апр.12	22.мар.16	0	47	20,0%	13329,38	194480,77
491	Аэропорт	153000	22.апр.12	22.авг.13	0	16	12,0%	10395,52	13328,37
492	Аэропорт	184000	22.апр.12	22.авг.13	0	16	12,0%	12501,81	16028,89
493	Аэропорт	370000	22.апр.12	22.мар.16	1	47	18,0%	11027,27	148281,54
494	Аэропорт	363000	22.апр.12	22.апр.13	0	12	10,0%	31913,47	19961,60
495	Семеновский	499000	22.апр.12	22.дек.16	0	56	15,0%	12443,76	197850,36
496	Аэропорт	349000	23.апр.12	23.авг.16	0	52	15,0%	9167,87	127729,19
497	Аэропорт	227000	23.апр.12	23.мар.16	0	47	20,0%	7004,09	102192,44
498	Аэропорт	310000	23.апр.12	23.апр.15	0	36	17,0%	11052,35	87884,44
499	Аэропорт	353000	23.апр.12	23.июн.16	0	50	15,0%	9537,22	123861,08
500	Арбатский	63000	23.апр.12	23.фев.17	0	58	15,0%	1533,61	25949,42
501	Аэропорт	444000	23.апр.12	23.июн.14	1	26	14,0%	19896,33	73304,58
502	Аэропорт	179000	23.апр.12	23.ноя.13	1	19	9,0%	10143,46	13725,83
503	Аэропорт	61000	23.апр.12	23.авг.14	0	28	17,0%	2654,34	13321,58
504	Аэропорт	439000	23.апр.12	23.авг.13	0	16	12,0%	29827,68	38242,85
505	Аэропорт	219000	23.апр.12	23.дек.14	0	32	17,0%	8559,35	54899,35
506	Аэропорт	192000	23.апр.12	23.июн.16	0	50	15,0%	5187,38	67369,20
507	Аэропорт	295000	23.апр.12	23.июл.16	0	51	15,0%	7857,53	105734,28
508	Киевский	133000	23.апр.12	23.авг.12	0	4	10,0%	33945,58	2782,33
509	Аэропорт	410000	23.апр.12	23.мар.15	0	35	17,0%	14938,59	112850,64
510	Аэропорт	148000	23.апр.12	23.мар.14	0	23	12,0%	7235,10	18407,40
511	Аэропорт	307000	23.апр.12	23.авг.16	0	52	15,0%	8064,57	112357,77
512	Аэропорт	341000	23.апр.12	23.июл.15	0	39	20,0%	11961,14	125484,27
513	Аэропорт	84000	24.апр.12	24.янв.13	0	9	10,0%	9726,52	3538,72
514	Киевский	64000	24.апр.12	24.сен.12	0	5	10,0%	13121,77	1608,85
515	Киевский	175000	24.апр.12	24.июл.12	0	3	10,0%	59308,24	2924,73
516	Аэропорт	497000	24.апр.12	24.июл.13	0	15	12,0%	35845,52	40682,78
517	Аэропорт	398000	24.апр.12	24.фев.16	1	46	18,0%	12040,00	155839,81
518	Аэропорт	73000	24.апр.12	24.май.16	0	49	15,0%	2001,34	25065,73
519	Аэропорт	215000	24.апр.12	24.янв.14	0	21	12,0%	11401,61	24433,85
520	Киевский	438000	24.апр.12	24.ноя.12	0	7	10,0%	64674,45	14721,16
521	Аэропорт	165000	24.апр.12	24.май.15	0	37	20,0%	6010,81	57399,89
522	Аэропорт	198000	25.апр.12	25.май.15	1	37	18,0%	7012,04	61445,65
523	Аэропорт	408000	25.апр.12	25.июл.14	0	27	17,0%	18290,40	85840,90
524	Семеновский	368000	25.апр.12	25.окт.16	0	54	15,0%	9412,56	140278,09
525	Аэропорт	410000	25.апр.12	25.фев.16	0	46	20,0%	12832,64	180301,51
526	Аэропорт	420000	25.апр.12	25.июл.15	1	39	18,0%	14302,94	137814,84
527	Аэропорт	51000	25.апр.12	25.авг.15	0	40	20,0%	1757,09	19283,64
528	Аэропорт	295000	25.апр.12	25.дек.13	0	20	12,0%	16347,52	31950,36
529	Аэропорт	499000	25.апр.12	25.ноя.13	0	19	12,0%	28967,83	51388,68
530	Аэропорт	441000	25.апр.12	25.янв.15	0	33	17,0%	16822,64	114147,26
531	Аэропорт	274000	26.апр.12	26.июн.14	0	26	17,0%	12671,81	55467,16
532	Аэропорт	214000	26.апр.12	26.апр.16	0	48	20,0%	6512,10	98580,68
533	Семеновский	444000	26.апр.12	26.сен.16	0	53	15,0%	11506,94	165867,72
534	Аэропорт	202000	26.апр.12	26.окт.14	0	30	17,0%	8312,09	47362,74
535	Аэропорт	415000	26.апр.12	26.фев.14	0	22	12,0%	21108,44	49385,75
536	Киевский	480000	26.апр.12	26.сен.12	0	5	10,0%	98413,28	12066,39
537	Аэропорт	254000	27.апр.12	27.авг.14	0	28	17,0%	11052,51	55470,18
538	Аэропорт	132000	27.апр.12	27.дек.13	0	20	12,0%	7314,82	14296,43
539	Аэропорт	87000	27.апр.12	27.авг.13	0	16	12,0%	5911,18	7578,88
540	Семеновский	423000	27.апр.12	27.сен.16	0	53	15,0%	10962,69	158022,62
541	Арбатский	258000	27.апр.12	27.янв.17	0	57	15,0%	6355,77	104279,05
542	Семеновский	389000	27.апр.12	27.окт.16	0	54	15,0%	9949,69	148283,09
543	Киевский	397000	27.апр.12	27.сен.12	0	5	10,0%	81395,98	9979,91
544	Аэропорт	265000	27.апр.12	27.июн.14	0	26	17,0%	12255,59	53645,25
545	Аэропорт	155000	27.апр.12	27.фев.16	0	46	20,0%	4851,36	68162,76
546	Киевский	101000	27.апр.12	27.дек.12	1	8	7,0%	12958,66	2669,24
547	Аэропорт	315000	27.апр.12	27.май.14	0	25	17,0%	15050,80	61270,09
548	Аэропорт	69000	27.апр.12	27.апр.13	0	12	10,0%	6066,20	3794,35
549	Арбатский	478000	28.апр.12	28.фев.17	1	58	13,0%	11143,05	168297,04
550	Киевский	153000	28.апр.12	28.июн.12	1	2	7,0%	77170,02	1340,05
551	Аэропорт	226000	28.апр.12	28.янв.15	0	33	17,0%	8621,13	58497,23
552	Аэропорт	384000	28.апр.12	28.фев.13	1	10	7,0%	39642,75	12427,48
553	Аэропорт	347000	28.апр.12	28.сен.15	0	41	20,0%	11749,56	134731,83
554	Аэропорт	197000	28.апр.12	28.мар.15	0	35	17,0%	7177,81	54223,36
555	Аэропорт	441000	28.апр.12	28.май.16	1	49	13,0%	11646,64	129685,54
556	Арбатский	321000	29.апр.12	29.апр.17	1	60	13,0%	7303,74	117224,19
557	Семеновский	386000	29.апр.12	29.дек.16	1	56	13,0%	9229,96	130878,00
558	Киевский	343000	29.апр.12	29.июл.12	1	3	7,0%	115669,81	4009,43
559	Арбатский	268000	29.апр.12	01.мар.17	0	58	15,0%	6523,93	110388,02
560	Аэропорт	266000	29.апр.12	29.янв.14	0	21	12,0%	14106,18	30229,78
561	Киевский	174000	29.апр.12	29.ноя.12	0	7	10,0%	25692,59	5848,13
562	Аэропорт	472000	29.апр.12	29.авг.14	0	28	17,0%	20538,52	103078,45
563	Аэропорт	380000	29.апр.12	29.дек.14	0	32	17,0%	14851,85	95259,15
564	Аэропорт	487000	29.апр.12	29.май.13	0	13	12,0%	40136,02	34768,22
565	Арбатский	357000	30.апр.12	30.мар.17	0	59	15,0%	8589,99	149809,14
566	Аэропорт	444000	30.апр.12	30.янв.15	0	33	17,0%	16937,08	114923,77
567	Семеновский	371000	30.апр.12	30.ноя.16	0	55	15,0%	9368,29	144255,83
568	Киевский	210000	30.апр.12	30.окт.12	1	6	7,0%	35718,05	4308,28
569	Киевский	372000	30.апр.12	30.ноя.12	0	7	10,0%	54928,99	12502,90
570	Арбатский	51000	30.апр.12	30.мар.17	0	59	15,0%	1227,14	21401,31
571	Аэропорт	394000	30.апр.12	30.окт.14	0	30	17,0%	16212,69	92380,79
572	Аэропорт	269000	01.май.12	01.апр.14	0	23	12,0%	13150,29	33456,69
573	Арбатский	348000	01.май.12	01.мар.17	0	58	15,0%	8471,37	143339,67
574	Аэропорт	104000	01.май.12	01.янв.14	0	20	12,0%	5763,19	11263,85
575	Семеновский	467000	01.май.12	01.дек.16	0	55	15,0%	11792,43	181583,49
576	Аэропорт	302000	01.май.12	01.окт.13	0	17	12,0%	19405,93	27900,86
577	Аэропорт	152000	01.май.12	01.мар.16	0	46	20,0%	4757,47	66843,49
578	Аэропорт	215000	01.май.12	01.июн.13	0	13	12,0%	17719,19	15349,42
579	Аэропорт	333000	01.май.12	01.дек.15	0	43	20,0%	10909,53	136109,99
580	Аэропорт	95000	01.май.12	01.авг.15	1	39	18,0%	3235,19	31172,40
581	Киевский	82000	01.май.12	01.июл.12	0	2	10,0%	41513,21	1026,42
582	Аэропорт	409000	02.май.12	02.сен.16	0	52	15,0%	10744,01	149688,36
583	Киевский	186000	02.май.12	02.ноя.12	0	6	10,0%	31910,42	5462,52
584	Аэропорт	142000	02.май.12	02.фев.15	0	33	17,0%	5416,82	36754,90
585	Аэропорт	128000	02.май.12	02.дек.13	0	19	12,0%	7430,62	13181,86
586	Аэропорт	83000	02.май.12	02.май.16	0	48	20,0%	2525,72	38234,56
587	Арбатский	442000	02.май.12	02.фев.17	0	57	15,0%	10888,57	178648,60
588	Аэропорт	166000	02.май.12	02.сен.14	1	28	14,0%	6983,74	29544,85
589	Киевский	244000	02.май.12	02.авг.12	0	3	10,0%	82692,64	4077,92
590	Аэропорт	267000	02.май.12	02.сен.15	0	40	20,0%	9198,89	100955,54
591	Аэропорт	440000	02.май.12	02.янв.15	0	32	17,0%	17196,88	110300,07
592	Аэропорт	142000	02.май.12	02.май.16	0	48	20,0%	4321,11	65413,35
593	Аэропорт	278000	02.май.12	02.янв.14	0	20	12,0%	15405,46	30109,15
594	Аэропорт	63000	03.май.12	03.ноя.15	0	42	20,0%	2097,73	25104,59
595	Аэропорт	81000	03.май.12	03.ноя.13	0	18	12,0%	4939,55	7911,83
596	Киевский	392000	03.май.12	03.окт.12	1	5	7,0%	79777,32	6886,60
597	Киевский	132000	03.май.12	03.авг.12	1	3	7,0%	44514,33	1542,99
598	Аэропорт	279000	03.май.12	03.ноя.15	0	42	20,0%	9289,94	111177,47
599	Киевский	353000	03.май.12	03.дек.12	0	7	10,0%	52123,47	11864,31
600	Аэропорт	453000	03.май.12	03.июл.16	0	50	15,0%	12238,98	158949,21
601	Аэропорт	263000	03.май.12	03.июн.15	0	37	20,0%	9580,86	91491,95
602	Аэропорт	147000	03.май.12	03.июл.13	0	14	12,0%	11304,47	11262,61
603	Аэропорт	398000	03.май.12	03.апр.15	0	35	17,0%	14501,36	109547,70
604	Аэропорт	414000	03.май.12	03.янв.15	1	32	14,0%	15576,88	84460,09
605	Киевский	449000	03.май.12	03.дек.12	0	7	10,0%	66298,69	15090,86
606	Аэропорт	428000	04.май.12	04.июн.16	0	49	15,0%	11733,89	146960,70
607	Аэропорт	397000	04.май.12	04.июл.13	0	14	12,0%	30529,77	30416,71
608	Аэропорт	71000	04.май.12	04.авг.15	0	39	20,0%	2490,44	26127,22
609	Аэропорт	462000	04.май.12	04.авг.16	0	51	15,0%	12305,70	165590,64
610	Аэропорт	326000	04.май.12	04.апр.13	0	11	10,0%	31138,67	16525,42
611	Аэропорт	318000	04.май.12	04.июл.14	0	26	17,0%	14706,70	64374,30
612	Аэропорт	420000	04.май.12	04.сен.16	0	52	15,0%	11032,97	153714,21
613	Аэропорт	442000	04.май.12	04.июл.16	0	50	15,0%	11941,79	155089,51
614	Киевский	83000	05.май.12	05.июл.12	0	2	10,0%	42019,47	1038,93
615	Аэропорт	55000	05.май.12	05.сен.16	0	52	15,0%	1444,79	20129,24
616	Киевский	114000	05.май.12	05.июл.12	0	2	10,0%	57713,49	1426,97
617	Семеновский	414000	05.май.12	05.окт.16	0	53	15,0%	10729,44	154660,44
618	Аэропорт	53000	05.май.12	05.июл.14	0	26	17,0%	2451,12	10729,05
619	Аэропорт	271000	05.май.12	05.дек.14	0	31	17,0%	10862,37	65733,54
620	Аэропорт	137000	06.май.12	06.авг.13	0	15	12,0%	9880,96	11214,37
621	Аэропорт	127000	06.май.12	06.янв.16	0	44	20,0%	4095,85	53217,51
622	Киевский	172000	06.май.12	06.авг.12	0	3	10,0%	58291,53	2874,60
