Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Квартира	Площадь квартиры	Способ приобретения собств.	Расположение	Машина	Срок эксплуатации машины	Загородный дом	Земельный участок	Прописка в данном районе	Гараж	Класс предприятия	Время работы предприятия	Отрасль предприятия	Специализация	Должность	Срок работы на предприятии	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов	Количество иждевенцев	Гражданское состояние	Занятость супруга	Срок проживания в регионе	Давать кредит	Давать кредит(число)
13500	2700	12	07.01.03	Покупка товара	1	41	Муж	специальное	Да	Нет	21	покупка	центр	импортная	4	Да	Да	Нет	Нет	среднее	39	Федеральное и муниципальное управление	Адм.-хоз. и транспортная службы	неруководящая	4	3	4500	1000	Покупка товаров длит. пользования	2	Да	Да	23	Нет	0
16500	3300	12	07.01.03	Покупка товара	1	44	Жен	специальное	Да	Нет	15	покупка	центр	отечественная	2	Да	Нет	Нет	Нет	крупное	17	Сборочные производства	Реклама и маркетинг	руководящая	5	3	4500	1000	Одежда, продукты питания и т.п.	1	Да	Нет	26	Нет	0
34500	6900	24	08.01.03	Оплата за образование	1	26	Муж	специальное	Да	Да	20	покупка	центр	отечественная	4	Нет	Нет	Да	Да	среднее	28	Юридические и нотариальные услуги	Участие в основной деятельности	неруководящая	5	7	4500	1000	Покупка и ремонт недвижимости	1	Да	Да	14	Нет	0
6000	1200	6	08.01.03	Покупка товара	1	22	Муж	специальное	Да	Нет	25	покупка	область	импортная	1	Да	Нет	Нет	Да	крупное	10	Коммунальное хо-во / Сфера услуг	Служба безопасности	неруководящая	4	2	4500	1000	Покупка товаров длит. пользования	0	Да	Нет	2	Да	1
51000	10200	30	08.01.03	Покупка и ремонт недвижимости	1	51	Муж	высшее	Да	Да	38	другое	центр	импортная	3	Нет	Да	Нет	Да	крупное	8	Правоохранительные органы	Участие в основной деятельности	неруководящая	4	13	5000	1500	Одежда, продукты питания и т.п.	3	Да	Нет	23	Нет	0
16000	3200	12	08.01.03	Иное	1	25	Жен	специальное	Нет	Да	12	нет жилья в собственности	область	отечественная	7	Да	Да	Нет	Нет	малое	13	Ощественное питание	Участие в основной деятельности	неруководящая	5	4	4500	1000	Турпоездки, развлечения и т.п.	1	Да	Нет	19	Нет	0
19000	3800	18	08.01.03	Оплата за образование	1	27	Жен	специальное	Да	Да	34	покупка	центр	отечественная	3	Нет	Нет	Да	Да	крупное	2	Увесилительный, игровой и шой-бизнес	Реклама и маркетинг	руководящая	3	10	4500	1000	Иное	0	Да	Нет	13	Нет	0
63000	12600	36	08.01.03	Покупка товара	1	41	Жен	высшее	Да	Да	18	другое	область	импортная	8	Нет	Да	Да	Да	малое	21	Сборочные производства	Участие в основной деятельности	неруководящая	4	8	5000	1000	Турпоездки, развлечения и т.п.	3	Нет	Нет	20	Нет	0
3000	600	6	08.01.03	Покупка товара	1	49	Муж	специальное	Да	Да	29	покупка	центр	отечественная	3	Нет	Да	Нет	Нет	крупное	5	Туризм	Вспомогательный технический персонал	неруководящая	1	7	4000	500	Затраты на образование (в т.ч. детей)	3	Нет	Нет	32	Да	1
30000	6000	12	08.01.03	Покупка и ремонт недвижимости	1	34	Жен	специальное	Да	Нет	39	другое	область	отечественная	7	Да	Нет	Да	Нет	крупное	3	Федеральное и муниципальное управление	Участие в основной деятельности	неруководящая	3	9	6000	2000	Турпоездки, развлечения и т.п.	3	Да	Да	13	Нет	0
38500	7700	18	08.01.03	Покупка товара	1	31	Жен	высшее	Нет	Да	61	другое	центр	отечественная	8	Нет	Нет	Да	Нет	малое	26	Торговля розничная	Адм.-хоз. и транспортная службы	неруководящая	2	9	6000	2000	Затраты на образование (в т.ч. детей)	2	Да	Да	16	Нет	0
13000	2600	6	08.01.03	Покупка и ремонт недвижимости	1	25	Жен	высшее	Нет	Нет	36	другое	центр	отечественная	14	Да	Да	Да	Нет	малое	6	Сборочные производства	Участие в основной деятельности	неруководящая	4	7	5500	1500	Покупка и ремонт недвижимости	0	Да	Да	5	Да	1
27500	5500	18	08.01.03	Покупка и ремонт недвижимости	1	19	Жен	высшее	Да	Нет	23	нет жилья в собственности	центр	импортная	7	Нет	Нет	Да	Да	крупное	23	Торговля розничная	Участие в основной деятельности	неруководящая	3	4	5000	1000	Содержание/аренда недвижимости, а/т	0	Да	Да	6	Нет	0
50000	10000	24	08.01.03	Иное	1	19	Муж	высшее	Нет	Да	29	другое	центр	отечественная	7	Да	Нет	Нет	Нет	крупное	13	Сельское хозяйство	Участие в основной деятельности	руководящая	3	3	6500	2500	Турпоездки, развлечения и т.п.	0	Да	Да	4	Нет	0
9000	1800	6	08.01.03	Покупка и ремонт недвижимости	1	67	Жен	среднее	Нет	Да	23	другое	центр	импортная	3	Да	Нет	Нет	Да	крупное	19	Наука и культура	Участие в основной деятельности	неруководящая	5	4	5000	1500	Содержание/аренда недвижимости, а/т	3	Да	Нет	33	Да	1
43000	8600	36	09.01.03	Оплата за образование	1	54	Жен	специальное	Да	Нет	21	другое	область	отечественная	10	Да	Нет	Да	Да	крупное	26	Коммунальное хо-во / Сфера услуг	Участие в основной деятельности	неруководящая	3	2	5000	1000	Помощь родственникам	3	Да	Да	29	Нет	0
2500	500	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	1	34	Муж	среднее	Да	Нет	22	нет жилья в собственности	центр	отечественная	7	Да	Нет	Да	Да	крупное	17	Ощественное питание	Бухгалтерия, финансы и планирование	руководящая	4	3	3500	500	Одежда, продукты питания и т.п.	3	Да	Да	15	Нет	0
48500	9700	24	09.01.03	Покупка товара	1	30	Жен	специальное	Нет	Нет	47	другое	область	отечественная	3	Да	Нет	Да	Нет	крупное	2	Торговля розничная	Бухгалтерия, финансы и планирование	неруководящая	3	18	6000	2000	Одежда, продукты питания и т.п.	0	Нет	Нет	14	Нет	0
45500	9100	30	09.01.03	Оплата за образование	1	23	Жен	среднее	Да	Нет	17	нет жилья в собственности	центр	отечественная	1	Да	Да	Да	Да	крупное	40	Химия, парфюмерия, фармацефтика	Участие в основной деятельности	неруководящая	3	2	5000	1500	Покупка и ремонт недвижимости	1	Да	Да	8	Нет	0
32000	6400	12	09.01.03	Оплата услуг (мед., юрид. и т.п.)	1	23	Жен	среднее	Да	Да	15	другое	центр	Нет автомобиля	3	Нет	Нет	Нет	Да	крупное	3	Информатика и телекоммуникации	Служба безопасности	неруководящая	3	9	6000	1500	Помощь родственникам	0	Да	Да	9	Нет	0
2500	500	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	1	46	Муж	высшее	Нет	Да	40	другое	центр	отечественная	8	Нет	Нет	Да	Нет	среднее	4	Легкая и пищевая промышленность	Снабжение и сбыт	руководящая	4	4	3500	500	Покупка и ремонт недвижимости	2	Да	Нет	34	Нет	0
6500	1300	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	1	28	Муж	специальное	Да	Нет	62	другое	центр	отечественная	3	Нет	Нет	Да	Да	малое	3	Торговля оптовая, поср. деательность	Вспомогательный технический персонал	неруководящая	2	4	4500	1000	Покупка и ремонт недвижимости	0	Нет	Нет	12	Да	1
13500	2700	12	09.01.03	Оплата услуг (мед., юрид. и т.п.)	1	61	Муж	специальное	Да	Да	20	другое	центр	Нет автомобиля	2	Нет	Да	Да	Нет	крупное	14	Сельское хозяйство	Участие в основной деятельности	неруководящая	4	3	5500	1000	Покупка и ремонт недвижимости	3	Да	Да	25	Да	1
31500	6300	24	09.01.03	Оплата за образование	1	22	Муж	специальное	Да	Да	43	покупка	центр	импортная	7	Нет	Нет	Да	Да	крупное	4	Торговля розничная	Вспомогательный технический персонал	неруководящая	2	2	4500	1000	Затраты на образование (в т.ч. детей)	1	Да	Да	8	Нет	0
6000	1200	6	09.01.03	Иное	1	30	Муж	специальное	Да	Нет	15	нет жилья в собственности	центр	отечественная	1	Нет	Нет	Нет	Да	малое	19	Коммунальное хо-во / Сфера услуг	Адм.-хоз. и транспортная службы	неруководящая	3	12	4500	1500	Одежда, продукты питания и т.п.	0	Да	Нет	12	Нет	0
28000	5600	18	09.01.03	Покупка и ремонт недвижимости	1	38	Муж	специальное	Нет	Да	19	покупка	центр	отечественная	1	Нет	Нет	Да	Да	крупное	24	Салоны красоты и здоровья	Участие в основной деятельности	неруководящая	3	5	5000	1000	Покупка товаров длит. пользования	1	Нет	Нет	24	Нет	0
13500	2700	6	09.01.03	Покупка товара	1	43	Жен	специальное	Да	Да	45	другое	область	отечественная	9	Нет	Да	Да	Нет	крупное	19	Правоохранительные органы	Служба безопасности	руководящая	5	6	5500	1000	Одежда, продукты питания и т.п.	1	Да	Да	27	Да	1
19500	3900	12	09.01.03	Оплата за образование	1	28	Муж	специальное	Да	Да	38	покупка	центр	Нет автомобиля	2	Нет	Нет	Да	Нет	крупное	4	Наука и культура	Бухгалтерия, финансы и планирование	неруководящая	4	6	5000	1000	Одежда, продукты питания и т.п.	0	Нет	Нет	14	Да	1
18000	3600	6	10.01.03	Покупка товара	1	30	Жен	специальное	Нет	Да	35	другое	центр	отечественная	4	Нет	Нет	Да	Да	среднее	16	Торговля розничная	Участие в основной деятельности	неруководящая	5	7	9500	2500	Покупка товаров длит. пользования	0	Да	Да	15	Да	1
45000	9000	24	10.01.03	Турпоездки, развлечения и т.п.	1	32	Жен	высшее	Да	Да	21	другое	область	отечественная	3	Да	Нет	Нет	Да	малое	10	Финансы, банковское дело	Служба безопасности	руководящая	4	8	5500	1500	Покупка товаров длит. пользования	3	Да	Да	14	Нет	0
20000	4000	12	10.01.03	Покупка товара	1	24	Жен	специальное	Нет	Нет	31	другое	центр	отечественная	13	Да	Нет	Нет	Нет	малое	20	Образование (комерч.)	Участие в основной деятельности	руководящая	2	18	5000	1000	Покупка товаров длит. пользования	1	Да	Да	5	Да	1
38000	7600	30	10.01.03	Турпоездки, развлечения и т.п.	1	65	Муж	специальное	Нет	Нет	44	покупка	центр	отечественная	3	Нет	Да	Да	Да	среднее	5	Торговля оптовая, поср. деательность	Реклама и маркетинг	неруководящая	4	5	4500	1000	Турпоездки, развлечения и т.п.	3	Да	Да	35	Нет	0
14500	2900	12	10.01.03	Иное	1	25	Муж	специальное	Да	Да	31	другое	центр	отечественная	3	Нет	Да	Нет	Да	крупное	7	Легкая и пищевая промышленность	Реклама и маркетинг	неруководящая	2	6	4500	1000	Турпоездки, развлечения и т.п.	0	Нет	Нет	12	Нет	0
17000	3400	12	10.01.03	Иное	1	20	Муж	высшее	Нет	Нет	46	покупка	центр	отечественная	4	Да	Да	Да	Да	среднее	5	Сельское хозяйство	Снабжение и сбыт	руководящая	3	2	4500	1000	Одежда, продукты питания и т.п.	0	Нет	Нет	11	Нет	0
5500	1100	6	10.01.03	Покупка товара	1	47	Муж	специальное	Да	Нет	50	покупка	область	Нет автомобиля	6	Да	Нет	Нет	Нет	среднее	27	Сельское хозяйство	Участие в основной деятельности	неруководящая	3	2	4000	1000	Турпоездки, развлечения и т.п.	2	Да	Да	20	Нет	0
19500	3900	18	10.01.03	Покупка товара	1	25	Жен	специальное	Да	Нет	24	другое	центр	отечественная	1	Нет	Нет	Да	Да	малое	9	Наука и культура	Пр.-техн. обесп. и телекомуникации	руководящая	2	10	4500	1000	Покупка и ремонт недвижимости	1	Да	Да	20	Нет	0
37000	7400	24	10.01.03	Оплата услуг (мед., юрид. и т.п.)	1	30	Жен	специальное	Да	Да	29	другое	центр	отечественная	2	Нет	Да	Нет	Нет	крупное	20	Сельское хозяйство	Участие в основной деятельности	неруководящая	3	5	6000	1500	Иное	0	Да	Да	27	Да	1
15500	3100	12	10.01.03	Покупка товара	1	37	Муж	среднее	Да	Нет	27	другое	центр	отечественная	4	Нет	Да	Нет	Да	малое	17	Туризм	Вспомогательный технический персонал	неруководящая	3	7	5000	1500	Одежда, продукты питания и т.п.	1	Да	Да	18	Нет	0
21000	4200	12	10.01.03	Покупка товара	1	30	Муж	специальное	Да	Да	55	нет жилья в собственности	центр	Нет автомобиля	2	Нет	Нет	Да	Нет	малое	10	Сельское хозяйство	Участие в основной деятельности	неруководящая	4	9	5000	1500	Содержание/аренда недвижимости, а/т	0	Нет	Нет	16	Нет	0
23500	4700	12	10.01.03	Покупка и ремонт недвижимости	1	30	Жен	специальное	Нет	Нет	24	другое	центр	отечественная	1	Нет	Нет	Да	Нет	среднее	7	Образование (гос.)	Вспомогательный технический персонал	неруководящая	2	2	5500	1500	Покупка товаров длит. пользования	0	Да	Да	13	Да	1
3500	700	6	10.01.03	Оплата за образование	1	23	Муж	высшее	Нет	Нет	38	другое	область	импортная	1	Нет	Нет	Да	Нет	малое	4	Финансы, банковское дело	Вспомогательный технический персонал	неруководящая	3	5	4000	1000	Покупка товаров длит. пользования	1	Да	Да	13	Нет	0
31500	6300	18	11.01.03	Покупка товара	1	34	Жен	специальное	Да	Нет	30	другое	область	отечественная	9	Да	Нет	Да	Да	малое	23	Образование (гос.)	Участие в основной деятельности	неруководящая	4	8	6000	1500	Затраты на образование (в т.ч. детей)	2	Да	Нет	23	Нет	0
25000	5000	18	11.01.03	Покупка товара	1	48	Муж	специальное	Да	Нет	50	покупка	центр	импортная	5	Да	Да	Да	Да	крупное	22	Реклама, PR-Агенства, СМИ	Участие в основной деятельности	неруководящая	4	5	5000	1500	Одежда, продукты питания и т.п.	1	Да	Нет	19	Нет	0
17000	3400	6	11.01.03	Покупка товара	1	24	Муж	среднее	Да	Да	41	другое	центр	отечественная	3	Да	Нет	Да	Да	малое	15	Образование (комерч.)	Снабжение и сбыт	неруководящая	2	2	6000	1500	Одежда, продукты питания и т.п.	1	Да	Да	11	Да	1
38000	7600	18	11.01.03	Покупка и ремонт недвижимости	1	44	Муж	специальное	Нет	Да	36	другое	область	отечественная	2	Да	Да	Да	Да	среднее	7	Увесилительный, игровой и шой-бизнес	Снабжение и сбыт	неруководящая	2	5	5500	1000	Содержание/аренда недвижимости, а/т	3	Да	Нет	27	Нет	0
9000	1800	6	11.01.03	Оплата услуг (мед., юрид. и т.п.)	1	26	Жен	среднее	Да	Да	21	другое	область	Нет автомобиля	5	Нет	Нет	Нет	Да	среднее	4	Туризм	Кадровая служба и секритариат	неруководящая	3	6	5000	1000	Покупка и ремонт недвижимости	1	Нет	Нет	17	Да	1
29500	5900	18	11.01.03	Оплата за образование	1	21	Муж	высшее	Нет	Да	20	другое	область	импортная	7	Да	Нет	Нет	Да	среднее	7	Образование (гос.)	Снабжение и сбыт	руководящая	4	8	5500	2000	Содержание/аренда недвижимости, а/т	1	Нет	Нет	14	Нет	0
12000	2400	12	11.01.03	Покупка товара	1	23	Муж	специальное	Нет	Нет	23	другое	центр	отечественная	3	Нет	Да	Да	Нет	малое	13	Машиностроение и металлообработка	Реклама и маркетинг	неруководящая	4	2	4500	1000	Содержание/аренда недвижимости, а/т	1	Нет	Нет	3	Нет	0
19000	3800	12	11.01.03	Оплата за образование	1	48	Муж	высшее	Нет	Да	27	нет жилья в собственности	центр	отечественная	9	Да	Да	Да	Да	малое	9	Информатика и телекоммуникации	Участие в основной деятельности	неруководящая	2	10	5000	1500	Выплаты по кредитам/займам	2	Да	Нет	17	Нет	0
7500	1500	6	11.01.03	Покупка товара	1	30	Муж	специальное	Да	Да	18	покупка	область	отечественная	3	Нет	Да	Нет	Да	малое	10	Образование (гос.)	Участие в основной деятельности	неруководящая	5	9	4500	1000	Выплаты по кредитам/займам	0	Нет	Нет	15	Да	1
5500	1100	6	11.01.03	Оплата услуг (мед., юрид. и т.п.)	1	49	Муж	специальное	Да	Да	40	нет жилья в собственности	область	Нет автомобиля	3	Нет	Да	Да	Нет	малое	10	Легкая и пищевая промышленность	Служба безопасности	неруководящая	2	2	4000	1000	Одежда, продукты питания и т.п.	3	Да	Да	22	Нет	0
53500	10700	42	11.01.03	Покупка товара	1	39	Муж	специальное	Да	Да	25	другое	центр	импортная	6	Нет	Да	Да	Нет	малое	18	Торговля оптовая, поср. деательность	Участие в основной деятельности	неруководящая	4	12	4500	1000	Покупка и ремонт недвижимости	3	Да	Нет	22	Нет	0
10000	2000	12	11.01.03	Покупка товара	1	41	Жен	специальное	Да	Да	38	другое	центр	отечественная	1	Нет	Да	Нет	Нет	среднее	9	Машиностроение и металлообработка	Вспомогательный технический персонал	неруководящая	4	5	4000	500	Помощь родственникам	2	Да	Нет	21	Нет	0
34500	6900	24	11.01.03	Покупка и ремонт недвижимости	1	22	Жен	специальное	Нет	Нет	43	нет жилья в собственности	область	Нет автомобиля	2	Нет	Нет	Нет	Нет	малое	7	Иное	Участие в основной деятельности	неруководящая	2	5	4500	1000	Выплаты по кредитам/займам	1	Да	Да	17	Нет	0
42000	8400	30	12.01.03	Покупка товара	1	20	Муж	высшее	Нет	Нет	46	другое	центр	Нет автомобиля	10	Нет	Нет	Да	Нет	малое	17	Коммунальное хо-во / Сфера услуг	Вспомогательный технический персонал	неруководящая	3	5	5500	1000	Одежда, продукты питания и т.п.	1	Нет	Нет	5	Нет	0
31000	6200	18	12.01.03	Покупка и ремонт недвижимости	1	53	Муж	высшее	Нет	Нет	20	другое	область	Нет автомобиля	5	Да	Нет	Нет	Нет	малое	27	Торговля розничная	Участие в основной деятельности	неруководящая	4	3	5500	1500	Одежда, продукты питания и т.п.	2	Да	Да	26	Нет	0
34500	6900	24	12.01.03	Оплата услуг (мед., юрид. и т.п.)	1	23	Жен	специальное	Да	Да	62	другое	центр	отечественная	5	Нет	Нет	Нет	Да	среднее	20	Финансы, банковское дело	Участие в основной деятельности	руководящая	3	2	4500	1000	Турпоездки, развлечения и т.п.	1	Да	Да	8	Нет	0
16000	3200	12	12.01.03	Покупка товара	1	46	Муж	высшее	Да	Да	13	покупка	центр	импортная	8	Нет	Нет	Да	Да	крупное	14	Торговля розничная	Участие в основной деятельности	руководящая	3	7	4500	1000	Турпоездки, развлечения и т.п.	2	Да	Да	25	Нет	0
19000	3800	12	12.01.03	Покупка и ремонт недвижимости	1	35	Жен	высшее	Да	Да	32	покупка	центр	отечественная	7	Нет	Да	Нет	Да	среднее	32	Вооруженные силы	Участие в основной деятельности	неруководящая	4	3	5000	1500	Содержание/аренда недвижимости, а/т	0	Да	Да	23	Нет	0
17000	3400	12	12.01.03	Оплата услуг (мед., юрид. и т.п.)	1	36	Муж	специальное	Нет	Да	42	другое	центр	отечественная	3	Да	Нет	Да	Да	малое	10	Финансы, банковское дело	Участие в основной деятельности	неруководящая	4	4	5500	1000	Покупка и ремонт недвижимости	2	Да	Нет	10	Да	1
